TACC:  Starting up job 11435098 
TACC:  Starting parallel tasks... 
Running problem size 40^3 per domain until completion
Num processors: 512
Num threads: 32
Total number of elements: 32768000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

cycle = 104, time = 4.991617e-07, dt=7.441531e-09
cycle = 105, time = 5.066032e-07, dt=7.441531e-09
cycle = 106, time = 5.140448e-07, dt=7.441531e-09
cycle = 107, time = 5.214863e-07, dt=7.441531e-09
cycle = 108, time = 5.289278e-07, dt=7.441531e-09
cycle = 109, time = 5.363694e-07, dt=7.441531e-09
cycle = 110, time = 5.438109e-07, dt=7.441531e-09
cycle = 111, time = 5.512524e-07, dt=7.441531e-09
cycle = 112, time = 5.586939e-07, dt=7.441531e-09
cycle = 113, time = 5.661355e-07, dt=7.441531e-09
cycle = 114, time = 5.735770e-07, dt=7.441531e-09
cycle = 115, time = 5.818187e-07, dt=8.241732e-09
cycle = 116, time = 5.900605e-07, dt=8.241732e-09
cycle = 117, time = 5.983022e-07, dt=8.241732e-09
cycle = 118, time = 6.063988e-07, dt=8.096627e-09
cycle = 119, time = 6.143040e-07, dt=7.905153e-09
cycle = 120, time = 6.220394e-07, dt=7.735435e-09
cycle = 121, time = 6.296265e-07, dt=7.587082e-09
cycle = 122, time = 6.370853e-07, dt=7.458808e-09
cycle = 123, time = 6.444346e-07, dt=7.349309e-09
cycle = 124, time = 6.516924e-07, dt=7.257735e-09
cycle = 125, time = 6.588762e-07, dt=7.183822e-09
cycle = 126, time = 6.660104e-07, dt=7.134195e-09
cycle = 127, time = 6.731208e-07, dt=7.110441e-09
cycle = 128, time = 6.802313e-07, dt=7.110441e-09
cycle = 129, time = 6.873417e-07, dt=7.110441e-09
cycle = 130, time = 6.944521e-07, dt=7.110441e-09
cycle = 131, time = 7.015626e-07, dt=7.110441e-09
cycle = 132, time = 7.086730e-07, dt=7.110441e-09
cycle = 133, time = 7.157835e-07, dt=7.110441e-09
cycle = 134, time = 7.228939e-07, dt=7.110441e-09
cycle = 135, time = 7.309374e-07, dt=8.043512e-09
cycle = 136, time = 7.389809e-07, dt=8.043512e-09
cycle = 137, time = 7.470244e-07, dt=8.043512e-09
cycle = 138, time = 7.550679e-07, dt=8.043512e-09
cycle = 139, time = 7.639460e-07, dt=8.878073e-09
cycle = 140, time = 7.728241e-07, dt=8.878073e-09
cycle = 141, time = 7.817022e-07, dt=8.878073e-09
cycle = 142, time = 7.905802e-07, dt=8.878073e-09
cycle = 143, time = 7.994583e-07, dt=8.878073e-09
cycle = 144, time = 8.083364e-07, dt=8.878073e-09
cycle = 145, time = 8.172145e-07, dt=8.878073e-09
cycle = 146, time = 8.260925e-07, dt=8.878073e-09
cycle = 147, time = 8.349706e-07, dt=8.878073e-09
cycle = 148, time = 8.448022e-07, dt=9.831562e-09
cycle = 149, time = 8.546337e-07, dt=9.831562e-09
cycle = 150, time = 8.644653e-07, dt=9.831562e-09
cycle = 151, time = 8.742969e-07, dt=9.831562e-09
cycle = 152, time = 8.841284e-07, dt=9.831562e-09
cycle = 153, time = 8.939600e-07, dt=9.831562e-09
cycle = 154, time = 9.037915e-07, dt=9.831562e-09
cycle = 155, time = 9.136231e-07, dt=9.831562e-09
cycle = 156, time = 9.234547e-07, dt=9.831562e-09
cycle = 157, time = 9.332862e-07, dt=9.831562e-09
cycle = 158, time = 9.431178e-07, dt=9.831562e-09
cycle = 159, time = 9.529493e-07, dt=9.831562e-09
cycle = 160, time = 9.626497e-07, dt=9.700359e-09
cycle = 161, time = 9.721466e-07, dt=9.496921e-09
cycle = 162, time = 9.814678e-07, dt=9.321194e-09
cycle = 163, time = 9.906410e-07, dt=9.173156e-09
cycle = 164, time = 9.996924e-07, dt=9.051465e-09
cycle = 165, time = 1.008648e-06, dt=8.955480e-09
cycle = 166, time = 1.017533e-06, dt=8.885156e-09
cycle = 167, time = 1.026377e-06, dt=8.843838e-09
cycle = 168, time = 1.035209e-06, dt=8.832442e-09
cycle = 169, time = 1.044042e-06, dt=8.832442e-09
cycle = 170, time = 1.052874e-06, dt=8.832442e-09
cycle = 171, time = 1.061707e-06, dt=8.832442e-09
cycle = 172, time = 1.070539e-06, dt=8.832442e-09
cycle = 173, time = 1.079372e-06, dt=8.832442e-09
cycle = 174, time = 1.088204e-06, dt=8.832442e-09
cycle = 175, time = 1.097982e-06, dt=9.778007e-09
cycle = 176, time = 1.107760e-06, dt=9.778007e-09
cycle = 177, time = 1.117538e-06, dt=9.778007e-09
cycle = 178, time = 1.127316e-06, dt=9.778007e-09
cycle = 179, time = 1.137094e-06, dt=9.778007e-09
cycle = 180, time = 1.148019e-06, dt=1.092534e-08
cycle = 181, time = 1.158945e-06, dt=1.092534e-08
cycle = 182, time = 1.169870e-06, dt=1.092534e-08
cycle = 183, time = 1.180795e-06, dt=1.092534e-08
cycle = 184, time = 1.191721e-06, dt=1.092534e-08
cycle = 185, time = 1.202646e-06, dt=1.092534e-08
cycle = 186, time = 1.213571e-06, dt=1.092534e-08
cycle = 187, time = 1.224497e-06, dt=1.092534e-08
